DIRECTORIO,P6081_archivo1,P6083_archivo1,P6088_archivo1,P2061_archivo1,P1070_archivo3,P6160_archivo4,P8586_archivo4,P5010_archivo5,P791_archivo5,P3162_archivo5,P3163_archivo5,P5032_archivo5
7911896,3,3,1.0,2.0,1,1,2,2,1,1.0,35000.0,1
7911899,3,3,9.0,2.0,1,1,2,1,1,3.0,,1
7911901,2,2,9.0,1.0,1,2,2,3,1,,,4
7911902,3,3,2.0,2.0,1,1,2,2,1,1.0,30000.0,1
7911903,2,2,1.0,2.0,1,1,2,3,1,1.0,17200.0,4
7911905,3,3,10.0,1.0,1,1,2,2,1,1.0,28000.0,1
7911906,2,2,2.0,1.0,1,1,2,2,3,1.0,20000.0,4
7911909,2,2,1.0,2.0,2,1,2,2,1,1.0,18000.0,4
7911910,3,2,2.0,2.0,1,1,2,2,1,1.0,21771.0,1
7911911,3,3,9.0,2.0,1,1,2,1,3,1.0,13000.0,4
7911912,3,2,9.0,1.0,2,1,2,1,1,1.0,58900.0,1
7911913,3,3,10.0,1.0,1,2,2,3,1,1.0,211610.0,4
7911916,2,2,8.0,1.0,1,1,2,3,1,1.0,50000.0,4
7911917,3,2,4.0,2.0,2,1,2,2,1,,,4
7911919,3,3,10.0,1.0,1,1,2,3,3,1.0,21000.0,4
7911920,3,3,9.0,1.0,2,1,2,3,1,1.0,20000.0,4
7911924,2,3,1.0,2.0,1,1,2,2,1,1.0,41254.0,1
7911925,2,2,1.0,2.0,1,1,1,2,3,,,4
7911927,2,3,9.0,1.0,1,1,2,2,3,3.0,,4
7911929,3,2,3.0,1.0,1,1,2,3,1,1.0,20000.0,4
7911930,2,2,1.0,2.0,1,1,2,2,3,,,4
7911931,3,2,9.0,1.0,1,1,2,2,1,1.0,12000.0,1
7911936,2,2,4.0,2.0,1,1,2,2,1,1.0,10000.0,1
7911937,3,3,10.0,1.0,1,1,2,2,3,1.0,55000.0,4
7911938,3,3,1.0,2.0,2,1,2,1,1,1.0,56000.0,1
7911939,2,2,1.0,1.0,1,1,2,2,3,,,4
7911940,2,2,2.0,2.0,2,2,2,2,1,1.0,25000.0,1
7911942,3,3,9.0,1.0,1,2,2,2,1,,,4
7911943,2,2,10.0,1.0,1,1,2,1,3,1.0,52000.0,4
7911944,3,3,9.0,2.0,1,1,2,3,1,1.0,60000.0,4
7911947,3,3,10.0,2.0,1,1,2,2,1,,,1
7911953,2,2,1.0,1.0,2,1,2,1,3,2.0,,4
7911956,2,2,1.0,2.0,1,1,2,2,1,1.0,60000.0,4
